Suction press,Discharge press,Voltage,Current,Flow Rate,HMR Diff,KWH Diff,HMR_Hours,Pressure_Difference,Pressure_Ratio,Electrical_Load,Flow_Utilization,Specific_Energy,Power_kW,Energy_per_Hour,Load_Index
162.0,199.0,417.0,19.0,780.0,0:01:00,0,0.0166666666666666,37.0,1.228395061728395,7923.0,0.78,0.0,0.0,0.0,0.9581481481481481
210.0,159.0,418.0,18.0,673.0,0:18:00,6,0.3,-51.0,0.7571428571428571,7524.0,0.673,0.008915304606240713,20.0,20.0,0.5095571428571428
215.0,134.0,418.0,17.0,416.0,0:17:00,6,0.2833333333333333,-81.0,0.6232558139534884,7106.0,0.416,0.014423076923076924,21.176470588235293,21.176470588235293,0.25927441860465117
198.0,79.0,417.0,16.0,220.0,1:13:00,25,1.2166666666666666,-119.0,0.398989898989899,6672.0,0.22,0.11363636363636363,20.547945205479454,20.547945205479454,0.08777777777777779
161.0,201.0,418.0,18.0,480.0,0:01:00,1,0.0166666666666666,40.0,1.2484472049689441,7524.0,0.48,0.0020833333333333333,60.00000000000024,60.00000000000024,0.5992546583850932
193.0,143.0,417.0,16.0,646.0,0:17:00,5,0.2833333333333333,-50.0,0.7409326424870466,6672.0,0.646,0.007739938080495356,17.647058823529413,17.647058823529413,0.4786424870466321
129.0,108.0,416.0,15.0,395.0,0:26:00,9,0.4333333333333333,-21.0,0.8372093023255814,6240.0,0.395,0.02278481012658228,20.76923076923077,20.76923076923077,0.3306976744186047
184.0,185.0,417.0,16.0,787.0,0:09:00,2,0.15,1.0,1.0054347826086956,6672.0,0.787,0.0025412960609911056,13.333333333333334,13.333333333333334,0.7912771739130434
115.0,163.0,416.0,15.0,540.0,0:18:00,7,0.3,48.0,1.4173913043478261,6240.0,0.54,0.012962962962962963,23.333333333333336,23.333333333333336,0.7653913043478262
208.0,131.0,415.0,15.0,393.0,0:11:00,4,0.1833333333333333,-77.0,0.6298076923076923,6225.0,0.393,0.010178117048346057,21.818181818181824,21.818181818181824,0.2475144230769231
67.0,87.0,417.0,16.0,275.0,0:33:00,11,0.55,20.0,1.2985074626865671,6672.0,0.275,0.04,20.0,20.0,0.357089552238806
137.0,176.0,416.0,15.0,132.0,1:14:00,24,1.2333333333333334,39.0,1.2846715328467153,6240.0,0.132,0.18181818181818182,19.45945945945946,19.45945945945946,0.16957664233576644
166.0,135.0,417.0,16.0,379.0,1:09:00,21,1.15,-31.0,0.8132530120481928,6672.0,0.379,0.055408970976253295,18.260869565217394,18.260869565217394,0.3082228915662651
52.0,103.0,418.0,17.0,335.0,0:39:00,13,0.65,51.0,1.9807692307692308,7106.0,0.335,0.03880597014925373,20.0,20.0,0.6635576923076923
16.0,132.0,419.0,16.0,321.0,0:54:00,16,0.9,116.0,8.25,6704.0,0.321,0.04984423676012461,17.77777777777778,17.77777777777778,2.64825
30.0,69.0,418.0,17.0,238.0,2:05:00,40,2.083333333333333,39.0,2.3,7106.0,0.238,0.16806722689075632,19.200000000000003,19.200000000000003,0.5473999999999999
28.0,80.0,419.0,17.0,349.0,0:59:00,17,0.9833333333333332,52.0,2.857142857142857,7123.0,0.349,0.04871060171919771,17.288135593220343,17.288135593220343,0.9971428571428571
54.0,154.0,418.0,17.0,264.0,1:47:00,31,1.7833333333333334,100.0,2.8518518518518516,7106.0,0.264,0.11742424242424243,17.38317757009346,17.38317757009346,0.7528888888888888
203.0,105.0,417.0,16.0,303.0,2:10:00,41,2.1666666666666665,-98.0,0.5172413793103449,6672.0,0.303,0.1353135313531353,18.923076923076923,18.923076923076923,0.15672413793103449
140.0,193.0,416.0,15.0,423.0,1:00:00,20,1.0,53.0,1.3785714285714286,6240.0,0.423,0.04728132387706856,20.0,20.0,0.5831357142857143
131.0,147.0,418.0,17.0,537.0,0:38:00,12,0.6333333333333333,16.0,1.1221374045801527,7106.0,0.537,0.0223463687150838,18.947368421052634,18.947368421052634,0.602587786259542
195.0,78.0,419.0,19.0,228.0,1:16:00,25,1.2666666666666666,-117.0,0.4,7961.0,0.228,0.10964912280701754,19.736842105263158,19.736842105263158,0.0912
103.0,156.0,417.0,16.0,640.0,0:09:00,4,0.15,53.0,1.5145631067961165,6672.0,0.64,0.00625,26.666666666666668,26.666666666666668,0.9693203883495146
47.0,94.0,416.0,15.0,336.0,1:36:00,30,1.6,47.0,2.0,6240.0,0.336,0.08928571428571429,18.75,18.75,0.672
99.0,153.0,415.0,16.0,557.0,0:42:00,13,0.7,54.0,1.5454545454545454,6640.0,0.557,0.02333931777378815,18.571428571428573,18.571428571428573,0.8608181818181819
98.0,157.0,417.0,16.0,567.0,0:42:00,13,0.7,59.0,1.6020408163265305,6672.0,0.567,0.02292768959435626,18.571428571428573,18.571428571428573,0.9083571428571428
217.0,137.0,418.0,17.0,532.0,0:47:00,15,0.7833333333333333,-80.0,0.631336405529954,7106.0,0.532,0.02819548872180451,19.148936170212767,19.148936170212767,0.33587096774193553
97.0,151.0,417.0,16.0,583.0,0:42:00,13,0.7,54.0,1.556701030927835,6672.0,0.583,0.022298456260720412,18.571428571428573,18.571428571428573,0.9075567010309278
107.0,168.0,418.0,17.0,605.0,0:23:00,7,0.3833333333333333,61.0,1.5700934579439252,7106.0,0.605,0.011570247933884297,18.260869565217394,18.260869565217394,0.9499065420560747
212.0,130.0,419.0,18.0,228.0,1:36:00,32,1.6,-82.0,0.6132075471698113,7542.0,0.228,0.14035087719298245,20.0,20.0,0.13981132075471697
203.0,96.0,418.0,17.0,435.0,1:07:00,20,1.1166666666666667,-107.0,0.4729064039408867,7106.0,0.435,0.04597701149425287,17.91044776119403,17.91044776119403,0.2057142857142857
95.0,155.0,418.0,16.0,250.0,1:21:00,25,1.35,60.0,1.631578947368421,6688.0,0.25,0.1,18.51851851851852,18.51851851851852,0.40789473684210525
98.0,142.0,419.0,16.0,258.0,1:39:00,29,1.65,44.0,1.4489795918367347,6704.0,0.258,0.1124031007751938,17.575757575757578,17.575757575757578,0.37383673469387757
47.0,111.0,420.0,19.0,290.0,2:03:00,36,2.05,64.0,2.3617021276595747,7980.0,0.29,0.12413793103448276,17.5609756097561,17.5609756097561,0.6848936170212766
67.0,127.0,419.0,18.0,453.0,1:05:00,20,1.0833333333333333,60.0,1.8955223880597014,7542.0,0.453,0.04415011037527594,18.461538461538463,18.461538461538463,0.8586716417910447
192.0,137.0,418.0,17.0,127.0,1:44:00,34,1.7333333333333334,-55.0,0.7135416666666666,7106.0,0.127,0.2677165354330709,19.615384615384613,19.615384615384613,0.09061979166666666
64.0,109.0,417.0,16.0,366.0,1:22:00,25,1.3666666666666667,45.0,1.703125,6672.0,0.366,0.06830601092896176,18.29268292682927,18.29268292682927,0.62334375
88.0,151.0,416.0,15.0,539.0,0:44:00,13,0.7333333333333333,63.0,1.7159090909090908,6240.0,0.539,0.02411873840445269,17.72727272727273,17.72727272727273,0.924875
55.0,102.0,416.0,15.0,360.0,1:25:00,26,1.4166666666666667,47.0,1.8545454545454545,6240.0,0.36,0.07222222222222222,18.352941176470587,18.352941176470587,0.6676363636363636
90.0,151.0,415.0,14.0,504.0,0:43:00,14,0.7166666666666667,61.0,1.6777777777777778,5810.0,0.504,0.027777777777777776,19.53488372093023,19.53488372093023,0.8456
114.0,173.0,417.0,16.0,314.0,0:42:00,14,0.7,59.0,1.5175438596491229,6672.0,0.314,0.044585987261146494,20.0,20.0,0.4765087719298246
138.0,182.0,416.0,15.0,450.0,0:52:00,15,0.8666666666666667,44.0,1.318840579710145,6240.0,0.45,0.03333333333333333,17.307692307692307,17.307692307692307,0.5934782608695652
95.0,209.0,416.0,15.0,338.0,1:47:00,32,1.7833333333333334,114.0,2.2,6240.0,0.338,0.09467455621301775,17.94392523364486,17.94392523364486,0.7436000000000001
36.0,128.0,417.0,16.0,283.0,1:48:00,30,1.8,92.0,3.5555555555555554,6672.0,0.283,0.10600706713780919,16.666666666666668,16.666666666666668,1.0062222222222221
80.0,129.0,418.0,16.0,408.0,1:18:00,22,1.3,49.0,1.6125,6688.0,0.408,0.05392156862745098,16.923076923076923,16.923076923076923,0.6578999999999999
86.0,147.0,419.0,18.0,552.0,0:49:00,15,0.8166666666666667,61.0,1.7093023255813953,7542.0,0.552,0.02717391304347826,18.367346938775512,18.367346938775512,0.9435348837209303
184.0,143.0,418.0,17.0,213.0,1:19:00,24,1.3166666666666669,-41.0,0.7771739130434783,7106.0,0.213,0.11267605633802817,18.22784810126582,18.22784810126582,0.16553804347826087
75.0,130.0,419.0,16.0,364.0,1:38:00,28,1.6333333333333333,55.0,1.7333333333333334,6704.0,0.364,0.07692307692307693,17.142857142857142,17.142857142857142,0.6309333333333333
80.0,148.0,418.0,17.0,207.0,1:26:00,26,1.4333333333333331,68.0,1.85,7106.0,0.207,0.12560386473429952,18.139534883720934,18.139534883720934,0.38295
35.0,122.0,418.0,16.0,262.0,2:25:00,44,2.4166666666666665,87.0,3.4857142857142858,6688.0,0.262,0.16793893129770993,18.20689655172414,18.20689655172414,0.9132571428571429
38.0,129.0,418.0,16.0,290.0,2:07:00,38,2.1166666666666667,91.0,3.3947368421052633,6688.0,0.29,0.1310344827586207,17.95275590551181,17.95275590551181,0.9844736842105263
80.0,111.0,417.0,17.0,448.0,0:51:00,16,0.85,31.0,1.3875,7089.0,0.448,0.03571428571428571,18.823529411764707,18.823529411764707,0.6216
150.0,197.0,416.0,18.0,185.0,1:10:00,22,1.1666666666666667,47.0,1.3133333333333332,7488.0,0.185,0.11891891891891893,18.857142857142858,18.857142857142858,0.24296666666666664
55.0,90.0,417.0,16.0,342.0,1:38:00,29,1.6333333333333333,35.0,1.6363636363636365,6672.0,0.342,0.0847953216374269,17.755102040816325,17.755102040816325,0.5596363636363637
77.0,124.0,418.0,17.0,410.0,1:07:00,19,1.1166666666666667,47.0,1.6103896103896105,7106.0,0.41,0.046341463414634146,17.01492537313433,17.01492537313433,0.6602597402597402
73.0,92.0,417.0,16.0,231.0,1:45:00,36,1.75,19.0,1.2602739726027397,6672.0,0.231,0.15584415584415584,20.571428571428573,20.571428571428573,0.29112328767123286
35.0,93.0,416.0,15.0,255.0,3:20:00,58,3.333333333333333,58.0,2.657142857142857,6240.0,0.255,0.22745098039215686,17.400000000000002,17.400000000000002,0.6775714285714286
41.0,128.0,417.0,16.0,293.0,2:13:00,40,2.216666666666667,87.0,3.1219512195121952,6672.0,0.293,0.13651877133105803,18.045112781954888,18.045112781954888,0.9147317073170731
55.0,106.0,418.0,16.0,433.0,1:22:00,26,1.3666666666666667,51.0,1.9272727272727272,6688.0,0.433,0.06004618937644342,19.024390243902438,19.024390243902438,0.8345090909090909
95.0,183.0,417.0,18.0,351.0,1:36:00,29,1.6,88.0,1.9263157894736842,7506.0,0.351,0.08262108262108261,18.125,18.125,0.6761368421052631
74.0,111.0,418.0,19.0,349.0,1:49:00,31,1.8166666666666669,37.0,1.5,7942.0,0.349,0.08882521489971347,17.064220183486235,17.064220183486235,0.5235
81.0,145.0,418.0,19.0,316.0,1:54:00,33,1.9,64.0,1.7901234567901234,7942.0,0.316,0.10443037974683544,17.36842105263158,17.36842105263158,0.565679012345679
74.0,101.0,419.0,17.0,377.0,2:11:00,37,2.183333333333333,27.0,1.364864864864865,7123.0,0.377,0.09814323607427056,16.946564885496183,16.946564885496183,0.5145540540540541
51.0,98.0,418.0,17.0,255.0,2:54:00,56,2.9,47.0,1.9215686274509804,7106.0,0.255,0.2196078431372549,19.310344827586206,19.310344827586206,0.49000000000000005
30.0,71.0,419.0,18.0,300.0,2:26:00,48,2.433333333333333,41.0,2.3666666666666667,7542.0,0.3,0.16,19.726027397260275,19.726027397260275,0.71
40.0,158.0,418.0,17.0,305.0,3:17:00,61,3.283333333333333,118.0,3.95,7106.0,0.305,0.2,18.578680203045685,18.578680203045685,1.20475
117.0,178.0,418.0,19.0,359.0,1:59:00,36,1.9833333333333327,61.0,1.5213675213675213,7942.0,0.359,0.10027855153203342,18.151260504201687,18.151260504201687,0.5461709401709401
92.0,146.0,418.0,18.0,319.0,3:17:00,59,3.283333333333333,54.0,1.5869565217391304,7524.0,0.319,0.18495297805642633,17.96954314720812,17.96954314720812,0.5062391304347826
81.0,125.0,419.0,18.0,324.0,2:23:00,43,2.3833333333333333,44.0,1.5432098765432098,7542.0,0.324,0.13271604938271606,18.041958041958043,18.041958041958043,0.5
87.0,130.0,418.0,19.0,306.0,3:19:00,59,3.316666666666667,43.0,1.4942528735632183,7942.0,0.306,0.19281045751633988,17.78894472361809,17.78894472361809,0.4572413793103448
50.0,128.0,419.0,18.0,221.0,1:52:00,35,1.8666666666666667,78.0,2.56,7542.0,0.221,0.1583710407239819,18.75,18.75,0.56576
61.0,118.0,418.0,19.0,313.0,3:11:00,61,3.183333333333333,57.0,1.9344262295081966,7942.0,0.313,0.19488817891373802,19.162303664921467,19.162303664921467,0.6054754098360655
39.0,80.0,418.0,19.0,344.0,3:06:00,57,3.1,41.0,2.051282051282051,7942.0,0.344,0.16569767441860464,18.387096774193548,18.387096774193548,0.7056410256410255
135.0,174.0,419.0,18.0,325.0,3:26:00,64,3.433333333333333,39.0,1.288888888888889,7542.0,0.325,0.19692307692307692,18.64077669902913,18.64077669902913,0.4188888888888889
37.0,121.0,418.0,19.0,286.0,3:54:00,66,3.9,84.0,3.27027027027027,7942.0,0.286,0.23076923076923078,16.923076923076923,16.923076923076923,0.9352972972972972
48.0,144.0,419.0,18.0,293.0,4:42:00,88,4.7,96.0,3.0,7542.0,0.293,0.3003412969283277,18.72340425531915,18.72340425531915,0.879
90.0,147.0,418.0,19.0,258.0,2:54:00,52,2.9,57.0,1.6333333333333333,7942.0,0.258,0.20155038759689922,17.931034482758623,17.931034482758623,0.4214
30.0,71.0,419.0,18.0,275.0,2:51:00,53,2.85,41.0,2.3666666666666667,7542.0,0.275,0.19272727272727272,18.596491228070175,18.596491228070175,0.6508333333333334
31.0,64.0,418.0,17.0,271.0,4:58:00,92,4.966666666666667,33.0,2.064516129032258,7106.0,0.271,0.33948339483394835,18.523489932885905,18.523489932885905,0.559483870967742
74.0,50.0,419.0,18.0,277.0,4:49:00,90,4.816666666666666,-24.0,0.6756756756756757,7542.0,0.277,0.3249097472924188,18.685121107266436,18.685121107266436,0.18716216216216217
39.0,89.0,418.0,17.0,287.0,4:22:00,80,4.366666666666666,50.0,2.282051282051282,7106.0,0.287,0.2787456445993031,18.320610687022903,18.320610687022903,0.6549487179487179
28.0,69.0,419.0,18.0,259.0,2:29:00,43,2.4833333333333334,41.0,2.4642857142857144,7542.0,0.259,0.16602316602316602,17.315436241610737,17.315436241610737,0.6382500000000001
27.0,72.0,418.0,17.0,274.0,2:34:00,47,2.566666666666667,45.0,2.6666666666666665,7106.0,0.274,0.17153284671532848,18.31168831168831,18.31168831168831,0.7306666666666667
116.0,117.0,419.0,18.0,311.0,4:18:00,75,4.3,1.0,1.0086206896551724,7542.0,0.311,0.24115755627009647,17.441860465116278,17.441860465116278,0.3136810344827586
28.0,68.0,418.0,17.0,262.0,3:09:00,59,3.15,40.0,2.4285714285714284,7106.0,0.262,0.22519083969465647,18.73015873015873,18.73015873015873,0.6362857142857142
40.0,124.0,419.0,18.0,270.0,3:50:00,64,3.8333333333333335,84.0,3.1,7542.0,0.27,0.23703703703703705,16.695652173913043,16.695652173913043,0.8370000000000001
37.0,106.0,420.0,19.0,298.0,4:30:00,85,4.5,69.0,2.864864864864865,7980.0,0.298,0.28523489932885904,18.88888888888889,18.88888888888889,0.8537297297297297
65.0,127.0,419.0,18.0,329.0,0:25:00,8,0.4166666666666667,62.0,1.9538461538461538,7542.0,0.329,0.0243161094224924,19.2,19.2,0.6428153846153847
102.0,131.0,419.0,18.0,304.0,2:13:00,40,2.216666666666667,29.0,1.2843137254901962,7542.0,0.304,0.13157894736842105,18.045112781954888,18.045112781954888,0.3904313725490196
84.0,161.0,418.0,17.0,259.0,4:59:00,91,4.983333333333333,77.0,1.9166666666666667,7106.0,0.259,0.35135135135135137,18.26086956521739,18.26086956521739,0.49641666666666673
57.0,117.0,419.0,18.0,371.0,1:52:00,33,1.8666666666666667,60.0,2.0526315789473686,7542.0,0.371,0.0889487870619946,17.678571428571427,17.678571428571427,0.7615263157894737
30.0,71.0,418.0,17.0,225.0,4:06:00,77,4.1,41.0,2.3666666666666667,7106.0,0.225,0.3422222222222222,18.78048780487805,18.78048780487805,0.5325
65.0,143.0,418.0,17.0,326.0,4:04:00,74,4.066666666666666,78.0,2.2,7106.0,0.326,0.22699386503067484,18.19672131147541,18.19672131147541,0.7172000000000001
29.0,73.0,419.0,18.0,274.0,3:19:00,62,3.316666666666667,44.0,2.5172413793103448,7542.0,0.274,0.22627737226277372,18.693467336683415,18.693467336683415,0.6897241379310345
26.0,69.0,418.0,17.0,295.0,2:25:00,42,2.4166666666666665,43.0,2.6538461538461537,7106.0,0.295,0.1423728813559322,17.379310344827587,17.379310344827587,0.7828846153846153
60.0,116.0,419.0,18.0,335.0,3:09:00,55,3.15,56.0,1.9333333333333333,7542.0,0.335,0.16417910447761194,17.460317460317462,17.460317460317462,0.6476666666666667
36.0,109.0,418.0,17.0,390.0,2:00:00,33,2.0,73.0,3.0277777777777777,7106.0,0.39,0.08461538461538462,16.5,16.5,1.1808333333333334
69.0,128.0,417.0,16.0,278.0,2:51:00,54,2.85,59.0,1.855072463768116,6672.0,0.278,0.19424460431654678,18.94736842105263,18.94736842105263,0.5157101449275363
92.0,145.0,418.0,17.0,310.0,3:33:00,66,3.55,53.0,1.576086956521739,7106.0,0.31,0.2129032258064516,18.591549295774648,18.591549295774648,0.4885869565217391
30.0,76.0,419.0,18.0,274.0,4:54:00,92,4.9,46.0,2.533333333333333,7542.0,0.274,0.3357664233576642,18.77551020408163,18.77551020408163,0.6941333333333334
78.0,129.0,417.0,16.0,333.0,3:05:00,51,3.083333333333333,51.0,1.6538461538461537,6672.0,0.333,0.15315315315315314,16.540540540540544,16.540540540540544,0.5507307692307692
81.0,125.0,418.0,17.0,307.0,2:15:00,43,2.25,44.0,1.5432098765432098,7106.0,0.307,0.14006514657980457,19.11111111111111,19.11111111111111,0.4737654320987654
28.0,68.0,419.0,18.0,267.0,2:57:00,53,2.95,40.0,2.4285714285714284,7542.0,0.267,0.19850187265917604,17.966101694915253,17.966101694915253,0.6484285714285715
213.0,161.0,419.0,18.0,349.0,3:39:00,64,3.65,-52.0,0.755868544600939,7542.0,0.349,0.1833810888252149,17.534246575342465,17.534246575342465,0.26379812206572767
65.0,106.0,419.0,17.0,384.0,0:20:00,7,0.3333333333333333,41.0,1.6307692307692307,7123.0,0.384,0.018229166666666668,21.0,21.0,0.6262153846153846
49.0,99.0,418.0,17.0,335.0,1:54:00,32,1.9,50.0,2.020408163265306,7106.0,0.335,0.0955223880597015,16.842105263157894,16.842105263157894,0.6768367346938775
45.0,102.0,418.0,17.0,199.0,0:38:00,13,0.6333333333333333,57.0,2.2666666666666666,7106.0,0.199,0.06532663316582915,20.526315789473685,20.526315789473685,0.45106666666666667
111.0,174.0,417.0,16.0,457.0,0:47:00,12,0.7833333333333333,63.0,1.5675675675675675,6672.0,0.457,0.0262582056892779,15.319148936170214,15.319148936170214,0.7163783783783784
74.0,124.0,418.0,18.0,388.0,1:18:00,23,1.3,50.0,1.6756756756756757,7524.0,0.388,0.059278350515463915,17.692307692307693,17.692307692307693,0.6501621621621622
106.0,121.0,417.0,18.0,540.0,0:08:00,3,0.1333333333333333,15.0,1.1415094339622642,7506.0,0.54,0.005555555555555556,22.500000000000004,22.500000000000004,0.6164150943396227
50.0,89.0,418.0,16.0,326.0,1:58:00,34,1.9666666666666663,39.0,1.78,6688.0,0.326,0.10429447852760736,17.288135593220343,17.288135593220343,0.58028
76.0,133.0,419.0,18.0,349.0,0:34:00,11,0.5666666666666667,57.0,1.75,7542.0,0.349,0.03151862464183381,19.411764705882355,19.411764705882355,0.6107499999999999
90.0,78.0,418.0,17.0,284.0,2:10:00,37,2.1666666666666665,-12.0,0.8666666666666667,7106.0,0.284,0.13028169014084506,17.076923076923077,17.076923076923077,0.24613333333333332
83.0,127.0,417.0,16.0,398.0,1:25:00,21,1.4166666666666667,44.0,1.5301204819277108,6672.0,0.398,0.052763819095477386,14.823529411764705,14.823529411764705,0.6089879518072289
61.0,115.0,418.0,17.0,236.0,0:28:00,14,0.4666666666666667,54.0,1.8852459016393444,7106.0,0.236,0.059322033898305086,30.0,30.0,0.44491803278688524
37.0,126.0,419.0,18.0,260.0,2:44:00,51,2.7333333333333334,89.0,3.4054054054054053,7542.0,0.26,0.19615384615384615,18.65853658536585,18.65853658536585,0.8854054054054054
80.0,122.0,418.0,17.0,171.0,1:30:00,29,1.5,42.0,1.525,7106.0,0.171,0.1695906432748538,19.333333333333332,19.333333333333332,0.260775
72.0,130.0,419.0,18.0,564.0,1:32:00,27,1.5333333333333334,58.0,1.8055555555555556,7542.0,0.564,0.047872340425531915,17.60869565217391,17.60869565217391,1.0183333333333333
85.0,97.0,418.0,17.0,336.0,1:53:00,35,1.8833333333333333,12.0,1.1411764705882352,7106.0,0.336,0.10416666666666667,18.58407079646018,18.58407079646018,0.38343529411764704
64.0,95.0,418.0,17.0,321.0,2:05:00,38,2.083333333333333,31.0,1.484375,7106.0,0.321,0.11838006230529595,18.240000000000002,18.240000000000002,0.476484375
70.0,123.0,419.0,18.0,377.0,1:37:00,29,1.6166666666666667,53.0,1.7571428571428571,7542.0,0.377,0.07692307692307693,17.938144329896907,17.938144329896907,0.6624428571428571
